#  Waypoint file created on Tue Sep 13 12:38:19 2005
#	Woodside Horse Park
1, 37.418847, -122.237662, 18, 10
2, 37.418728, -122.238203, 8, 10
3, 37.418643, -122.238663, 8, 10
4, 37.418476, -122.239081, 8, 10
5, 37.417566, -122.240690, 8, 10
6, 37.417452, -122.240917, 8, 10
7, 37.417358, -122.241235, 8, 10
8, 37.417350, -122.241406, 8, 10
9, 37.417444, -122.241672, 8, 10
#	Beginning of hairpin loop
10, 37.417760, -122.242190, 8, 10
11, 37.418050, -122.242516, 8, 10
12, 37.418155, -122.242706, 8, 10
13, 37.418099, -122.242794, 12, 10
14, 37.417995, -122.242704, 8, 10
#	End of loop
##   16, 37.417794, -122.242251, 8, 10
# 	End of loop.  
15, 37.417444, -122.241672, 8, 10
16, 37.417350, -122.241406, 8, 10
17, 37.417357, -122.241235, 8, 10
18, 37.417452, -122.240917, 8, 10
19, 37.417566, -122.240690, 8, 10
20, 37.418476, -122.239081, 8, 10
21, 37.418643, -122.238663, 8, 10
22, 37.418728, -122.238203, 8, 10
23, 37.418847, -122.237662, 8, 10
24, 37.418850, -122.237650, 8, 0

