1,34.0892124,-117.497861,90,10,####,####,####
2,34.0892042,-117.4978063,15,10,####,####,####
3,34.0891340,-117.4973022,10,20,####,####,####
4,34.0894639,-117.4952791,10,10,####,####,####
5,34.0895192,-117.4949602,15,10,####,####,####
6,34.0896253,-117.4948218,15,10,####,####,####
7,34.0897845,-117.4947412,20,5,####,####,####
8,34.0902183,-117.4951161,20,5,####,####,####
9,34.0903255,-117.4952802,20,10,####,####,####
10,34.0903395,-117.4953755,20,10,####,####,####
11,34.0902788,-117.4954688,15,10,####,####,####
12,34.0902137,-117.4955311,15,10,####,####,####
13,34.0897776,-117.4958449,15,10,####,####,####
14,34.0896705,-117.4959881,15,20,####,####,####
15,34.0896451,-117.4974486,20,15,####,####,####
16,34.089632,-117.4986403,6,5,####,####,####
17,34.0894444,-117.4992541,6,10,####,####,####
18,34.0894057,-117.5004387,10,50,####,####,####
19,34.0892916,-117.5033401,10,30,####,####,####
20,34.0893092,-117.5052503,10,20,####,####,####
21,34.0893008,-117.5058994,10,15,####,####,####
22,34.0892925,-117.5064138,10,10,####,####,####
23,34.0890873,-117.5067237,10,10,####,####,####
24,34.0888512,-117.5067387,10,10,####,####,####
25,34.0886598,-117.5066383,10,10,####,####,####
26,34.0885690,-117.5065353,10,10,####,####,####
27,34.0886343,-117.5064108,10,15,####,####,####
28,34.0889426,-117.5061882,10,15,####,####,####
29,34.0891265,-117.5059124,10,20,####,####,####
30,34.0891633,-117.5033047,15,15,####,####,####
31,34.0891702,-117.5022164,10,15,####,####,####
32,34.0890742,-117.5018173,8,10,####,####,####
33,34.0890581,-117.5003167,8,5,####,####,####
34,34.0890527,-117.5000962,10,0,####,####,####
